smiles,Vir_shifts,Ctype,score,DBindex
CC(=O)OC(CCCCc1ccc(O)c(O)c1)CCc1ccc(O)cc1,"[ 21.018822 171.92186   72.734406  33.54594   23.875969  29.077087
  34.375233 134.78221  121.552895 115.35992  144.26953  145.51997
 116.169975  36.02378   31.658073 133.29959  131.2894   116.06559
 155.88274  116.01604  131.40126 ]","['q' 's' 'd' 't' 't' 't' 't' 's' 'd' 'd' 's' 's' 'd' 't' 't' 's' 'd' 'd'
 's' 'd' 'd']",60.2594591047145,4876
CC(C)(O)C1CC=C(C(=O)OCC2OC(Oc3cc(C(=O)O)cc(O)c3O)C(O)C(O)C2O)CC1,"[ 27.851408  72.75094   27.757128  44.588894  26.20135  141.06255
 131.34035  168.99554   63.89406   76.371605 102.962364 146.94789
 110.80318  122.093155 169.35425  112.34856  145.79453  140.65144
  73.27422   77.16073   69.906044  27.190737  24.630196]","['q' 's' 'q' 'd' 't' 'd' 's' 's' 't' 'd' 'd' 's' 'd' 's' 's' 'd' 's' 's'
 'd' 'd' 'd' 't' 't']",60.16275274731979,11626
OCC1OC(OC(CCCCc2ccc(O)c(O)c2)CCc2ccc(O)c(O)c2)C(O)C(O)C1O,"[ 62.2635    77.82442  104.335625  80.5582    34.26127   23.952665
  29.060665  35.036976 135.52013  120.60091  115.67368  145.17348
 146.36232  116.23691   36.699768  31.877872 134.5275   120.83936
 115.66285  145.11946  145.9839   116.342186  72.99357   76.18781
  70.41726 ]","['t' 'd' 'd' 'd' 't' 't' 't' 't' 's' 'd' 'd' 's' 's' 'd' 't' 't' 's' 'd'
 'd' 's' 's' 'd' 'd' 'd' 'd']",60.125134651466865,10594
CC(C)(O)C1CC=C(C(=O)OCC2OC(Oc3c(O)cc(C(=O)O)cc3O)C(O)C(O)C2O)CC1,"[ 27.848572  72.68587   28.105694  45.147724  26.66237  140.57796
 131.57248  168.75734   63.668987  76.40409  104.93279  135.67348
 152.3358   108.64753  125.244286 169.37677  108.67966  152.49661
  73.61472   77.2817    69.91813   27.040668  24.627247]","['q' 's' 'q' 'd' 't' 'd' 's' 's' 't' 'd' 'd' 's' 's' 'd' 's' 's' 'd' 's'
 'd' 'd' 'd' 't' 't']",60.06067223577599,11352
Oc1ccc(CCC(O)CC(CCc2ccc(O)c(O)c2)OC2OCC(O)C(O)C2O)cc1O,"[145.05992  115.69443  120.41056  134.61937   31.928255  39.213554
  68.73071   42.903824  78.405716  37.176105  31.828539 134.38371
 120.43344  115.65211  145.03226  146.36543  116.407326 103.327255
  64.77483   69.41636   75.91142   72.926056 116.358986 146.17433 ]","['s' 'd' 'd' 's' 't' 't' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's' 'd' 'd'
 't' 'd' 'd' 'd' 'd' 's']",59.97384265816701,121915
COC1OC(OCCc2ccc(O)c(O)c2)C(OC2OCC(O)(CO)C2O)C(O)C1O,"[ 56.409443 102.07047   99.57972   71.75527   35.181267 130.08643
 123.31199  116.536644 145.56717  146.82326  119.9201    76.698784
 107.61588   73.36734   79.223274  64.426575  75.902245  73.27713
  72.30855 ]","['q' 'd' 'd' 't' 't' 's' 'd' 'd' 's' 's' 'd' 'd' 'd' 't' 's' 't' 'd' 'd'
 'd']",59.91497458191683,118608
Oc1ccc(CCCCC(O)CCc2ccc(O)c(O)c2)cc1,"[155.66426  115.65263  131.19942  133.87769   34.695873  28.6039
  23.858238  37.00596   70.0627    38.38243   31.725708 133.72217
 121.306816 115.1329   144.65845  146.09084  116.28394  131.08504
 115.83218 ]","['s' 'd' 'd' 's' 't' 't' 't' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's' 'd' 'd'
 'd']",59.778440111497034,145968
COc1cc(C(=O)O)cc(OC)c1OC1OC(COC(=O)C2=CCC(C(C)(C)O)CC2)C(O)C(O)C1O,"[ 56.109726 153.03525  107.71813  126.70415  169.04982  107.60273
 152.92548   56.212646 139.29779  104.834366  76.1696    63.693954
 167.56683  130.90634  141.59921   27.011166  44.774097  72.41391
  27.614317  27.892761  24.422476  25.948788  69.62846   77.397964
  73.42457 ]","['q' 's' 'd' 's' 's' 'd' 's' 'q' 's' 'd' 'd' 't' 's' 's' 'd' 't' 'd' 's'
 'q' 'q' 't' 't' 'd' 'd' 'd']",59.73011038301661,129549
Oc1cc2ccc1Oc1cc(ccc1O)CC(O)C(O)CCCC2,"[147.09616  116.770676 137.76079  123.53376  120.45532  143.78383
 147.63243  123.81808  131.13048  127.86935  116.29751  146.25577
  37.529648  72.86813   72.6581    29.758821  22.757696  25.003668
  33.48953 ]","['s' 'd' 's' 'd' 'd' 's' 's' 'd' 's' 'd' 'd' 's' 't' 'd' 'd' 't' 't' 't'
 't']",59.72845833004626,123724
C=CCc1ccc(O)c(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c1,"[117.16345  139.11263   40.858635 131.5687   125.09435  116.86564
 146.6838   146.33186  103.06031   76.5026    67.50848  107.52984
  73.3527    78.84754   64.33055   76.20816   70.41733   76.153145
  72.75098  118.49364 ]","['t' 'd' 't' 's' 'd' 'd' 's' 's' 'd' 'd' 't' 'd' 't' 's' 't' 'd' 'd' 'd'
 'd' 'd']",59.687716393292774,140380
